sol,Gamma,DeltaP,Gamma_unc,DeltaP_unc
87,63.90963850730212,1.918398480764295,2.237134183128529,0.040977388562166164
88,12.511339377307499,3.5656372679073742,0.6157046121978651,0.7374190270882703
91,16.652134401488006,0.6712883255755189,0.8613113548724651,0.6228838206209979
91,6.664379522422144,2.687079187741367,0.349095906942761,0.39090555503096097
92,13.06781871753959,0.8668991976781618,0.5448180204043347,0.3309663246714905
93,42.15102137488281,3.3440796155188997,0.8164710440478817,0.15023669325299815
93,4.613656577932818,3.9977249904630012,0.27515713005129255,1.7260157378892242
93,332.69722116090355,4.256251827664799,3.28678225381832,0.003999391602991432
93,65.04842084965598,0.3486573761723166,6.049245222891982,0.07737167182920952
93,2.0003962008157763,1.1130929295752618,2.26654329231473,20.40047309269563
93,2.000000000006708,8.13880897699445,inf,inf
93,12.82731065206638,7.734476137621266,3.3751655912178675,0.8076815627257758
93,2.0000000000067244,0.9550046262642962,0.3572917215914076,0.7001228090756926
94,94.1046745304746,2.1298405291677724,1.562090341778259,0.0694424882101052
94,54.97588595178785,0.898937718997799,4.372891434045784,0.06838781075491016
94,7.040354479678769,13.244395672195433,1.1996668862993445,0.4574412632430325
95,456.4540097554252,0.03558022564153548,51.746241214302245,0.2272775106070479
95,69.91017387421843,1.2420126011173491,1.9593786794698567,0.03771346288350679
95,98.67484667046939,0.5577147026631297,10.12316960248473,0.0877720110827358
95,42.20033392866747,1.3633751815761757,1.2463997179718576,0.09012035596337752
96,112.17359595565698,0.45822243339575547,8.703440994230082,0.11208840157363494
98,24.51815162685173,0.46542653843195325,2.6589452243322804,0.7055605099092618
98,22.32766795966667,0.599596645801386,4.291841297411025,0.07121407121430559
98,32.327131605323814,10.596783921722036,11.503339165599789,1.8540498591906103
98,91.99857868367788,2.9920203727852477,10.003192073696345,0.06995879446152944
99,38.59023268252821,3.3761737754428998,1.3703736363302415,0.6306271865948099
99,10.997567559991838,4.136057510975232,0.6688707157163775,0.3573000012653922
99,29.132269298450375,0.6215566575647984,2.1530091694853275,0.14831916580649795
99,13.356202884785493,9.585158955290433,0.521085695583378,0.25750257649234454
100,2.00000000000671,0.683445364788971,0.4351745705524852,0.146594559417884
100,46.98948178559036,1.314285768147562,4.139862056782116,0.1466558015958751
101,192.11375872789597,2.5579251217659937,7.465830020493909,0.12256176672460013
101,30.979012106974835,1.0717698073138002,2.403899973753303,0.4560307596805225
101,3.014316057325723,14.89113767559474,0.28729343980046884,2.5246812968640286
101,2.000000002467128,3.672053390572108,1.0823099141117707,1.8937388368963284
101,2.703164157521356,14.316757517179484,0.934170844912387,3.285913081815696
101,13.609384877613168,2.2955795635462053,1.1337759088318495,0.13895555841463278
102,178.2317532827384,1.45068700557378,15.382766951760427,0.019618861624399103
102,9.784967966667903,3.8899300264850942,0.5495585398365083,0.45883843227397997
102,20.007058342572694,2.7668609377380937,1.648815674139949,0.20956401367064562
103,137.5502090681312,3.196948902651945,5.4414414377937605,0.04381425043216272
103,11.466039627540253,7.242810032596678,1.0834012076371997,0.45340807931703053
103,67.90839475119441,0.89095780132812,6.7195221385677995,0.053344829318836794
103,122.49200059766765,3.6747167133243845,7.821511748336972,0.043063808687548874
103,80.50270757452846,3.253901462933145,6.754982925705057,0.05330435747365827
103,2.0000000000067084,21.65898675818518,1.4573290536280252,3.0535061046195544
103,10.415790078183639,4.134519671711721,1.0111633086870104,0.3266287492829436
104,135.6702621957207,0.2096739503559877,7.142033248340006,0.05451660040032072
104,31.966325164609483,4.453828901667233,3.7858865345794457,0.13658562736074398
104,20.242636648214567,4.207122281732979,3.145590647791356,0.5482408313005386
104,90.44313689487832,1.3529495249135168,14.6175074739479,0.23422066130532182
104,26.959422150295783,0.8503765939885339,2.3992914925930084,0.08609352253045861
105,2.2512989373805254,1.1063849539182087,0.15826812025374437,5.404603101723861
105,8.584422123794903,4.834874776265704,0.43500090375870054,0.6962405317644722
105,2.0087888988020492,2.2452028106130766,0.23224811457050185,1.4528037332694848
105,75.11891830403177,2.5506228338998795,3.356735626880503,0.1408372775034544
105,9.735452953620642,4.898105442068618,0.9864552884404322,0.2613771064091348
105,26.135921781565425,5.627351216702553,3.5130363578491814,0.21929810953261533
106,18.27672444986712,1.6359535051993184,1.4299826110123894,2.5453044403870186
106,6.382590987370093,11.568105764693449,0.2617540286012297,1.2425691329069537
106,52.62982521902431,6.951069901422444,2.063448979653266,0.1276243772898989
106,22.540632107066628,2.161557495169984,1.1869193326091414,0.36033657113215456
106,41.895844146700995,3.87541761149198,1.9857711216955147,0.16053372182767686
106,4.4692456762741655,10.75859967510285,0.3251964607350938,2.270443459937263
106,53.7468755569387,1.290367975667655,3.841445811689771,0.10027627607381806
106,67.45766391994323,4.203612783021623,5.242589339289161,0.16320395498589865
107,11.545443164937794,1.4370217960337623,0.47104115790725254,1.4409201339502573
107,63.0744166371787,1.9366084125292384,3.7803847023071553,0.09433549997459036
107,295.58380077674326,1.496374637013163,29.49597910594619,0.15875126222241595
107,72.02702018773994,1.7638779784767493,5.441950570248336,0.04474432722954755
108,16.39039924740358,1.609262958587382,0.6569277559551079,0.2191121975226068
108,3.906761241349742,3.574849503466789,0.8762598118333226,0.7165356701423913
108,102.68524811428173,1.3857223488086945,10.762783152308211,0.07137884106694364
108,43.480632538579194,6.640597335072767,2.895369263483565,0.09524416116928149
108,76.51639632404732,2.988737045408364,5.251143278554621,0.05139219950141093
108,94.10680185531325,0.13089551742065586,5.571398287147829,0.10255482456315983
108,2.00039441952193,5.369655080828312,1.7141510758449232,51.552734999988
108,26.81022282333226,10.763201338951891,9.59972876016642,1.6410703194225085
109,24.597579458534657,0.10301369077011971,2.2929248952003776,0.010202678162876842
109,4.325848592635775,0.9771193115993217,0.312656101390926,2.1979359395839504
109,60.60980805363828,2.2572039620862268,3.6268864885089065,0.12478986414682304
109,251.47408854925686,1.6368531787815817,16.875921881868376,0.057409767393780155
109,35.98985504558187,9.570253275429554,1.5653142772522417,0.16844622791109998
110,2.3189539378862714,11.862094762242185,0.19287100668309112,14.5358561736321
110,69.81528891884764,2.70716193386413,4.520158037921852,0.012020479869464534
110,260.3706098882057,1.2521739130423315,25.04571373033512,0.09789704432155075
111,66.12516983587781,2.8825842988087866,2.4361662878007775,0.14466318920033244
111,11.894181257141275,36.29528288455729,1.4335141061214474,1.894639545854444
111,5.045531167714083,3.0177203145904636,0.15678418554123427,0.7809884322551431
111,65.13219057119761,3.2800968077551578,5.956286611242834,0.13888765920840615
111,41.974958467220354,1.1644454175426904,3.64647163408591,0.09759860201024778
112,22.66242860634226,3.8372025390854465,0.6214557694409986,0.443358684145443
112,31.682491478177802,3.7905647629521138,1.1439508737421316,0.36199637452709826
113,19.423161130017032,13.587153482386649,1.1922958733176021,1.011248303483695
113,6.396721462586865,0.9931797886812309,0.36590664384013,0.2188816127766091
113,6.138531144041035,18.696542213196416,1.3629506030609597,4.377024217272733
113,7.419971210268775,3.0352537817512673,0.8098479591509918,0.8790654775843864
113,9.99960896270661,1.530605466771208,1.864882347836991,0.3773740552849306
113,6.048215966924541,9.032578385253919,0.36270215878941137,0.6406901064051677
113,16.9730185811624,4.896477757345391,2.0042826689872575,0.47458819427330506
113,10.38816763990036,3.054571952600776,2.664749405013558,0.05425776003552553
113,121.63706984989702,3.8524230527734606,5.310065085956943,0.03710614812510526
113,12.79414524739264,12.822544496460395,1.851372274906346,0.5154708731172322
113,4.469377064540949,10.358159833756858,0.22667279203727622,0.7897807098844175
114,76.12496005397561,0.7420100532237958,3.8450635876365915,0.07492834336988562
114,41.5698363369284,4.526509998105437,5.346381533242361,0.211362901543204
114,10.014041790555574,5.3890782100258665,0.9679458229930361,0.5749333949726468
114,3.8520356367791426,14.651885098079303,0.6561259885051173,2.3942345795946474
115,6.566720555158107,0.8709783479067138,0.344942758959291,1.0248331680820841
115,2.7747880519116257,2.0869384680039946,0.17437194825355687,1.1599517731751636
115,68.59969096241166,3.0029149241711317,2.4848987106475606,0.06395011958433831
115,66.84206195639487,2.6609758158502266,10.20109402843041,0.11544641610753405
115,179.89134003443522,2.2510010371457736,12.33861034815703,0.08590201117282709
115,130.67852671133406,0.8815160430485425,9.67259179113319,0.09470777358647603
115,56.29237128043586,0.40723777265388195,3.660054107216402,0.05880918436457551
