# sol, vortex, baseline, baseline_unc, slope, slope_unc, t0, t0_unc, DeltaP, DeltaP_unc, Gamma, Gamma_unc, conv
36, 2, 739.222, 0.00579042, 1.83398, 0.074175, 12.1837, 0.000334658, 0.394729, 0.00873512, 108.612, 4.98867, 7.31627
38, 0, 737.72, 0.00752189, 0.221227, 0.274452, 12.0754, 7.53272e-05, 0.722829, 0.00994376, 39.6168, 1.17001, 14.4244
38, 1, 732.908, 0.0156306, 0.411269, 4.97005, 15.2973, 3.00955e-05, 0.635877, 0.0360777, 3.78208, 0.405221, 11.1215
38, 2, 739.431, 0.0190056, -0.138561, 0.173216, 13.1623, 0.000513086, 0.592514, 0.0180035, 174.708, 9.70978, 8.23884
38, 3, 738.984, 0.0178912, 1.63816, 0.735176, 13.183, 0.000259481, 0.219299, 0.0914104, 4.48579, 2.93648, 8.17826
38, 4, 737.392, 0.0142642, -4.02539, 0.024179, 14.2174, 0.000519109, 0.449871, 0.0133365, 188.15, 11.2812, 8.13932
38, 5, 732.087, 0.00762535, 0.800373, 0.399313, 16.2626, 0.000150119, 0.304873, 0.0125767, 26.2693, 2.17715, 7.82482
38, 6, 738.568, 0.0100985, -0.566809, 0.126912, 12.5122, 0.000366895, 0.425175, 0.0105177, 121.19, 6.40979, 7.17861
53, 0, 746.971, 0.00826599, -3.00558, 0.929669, 12.9299, 5.5345e-05, 0.459618, 0.0153961, 11.7207, 0.78024, 9.97575
53, 1, 744.451, 0.00772254, 1.9903, 0.05989, 11.9402, 0.000708579, 0.36433, 0.0102357, 184.109, 11.0418, 7.78707
53, 2, 742.422, 0.00689611, -10.5653, 0.20533, 15.0637, 0.000218623, 0.346199, 0.0137456, 39.8243, 2.99784, 7.77592
53, 3, 745.114, 0.00338419, 1.78913, 0.0578727, 12.1819, 0.000395297, 0.213683, 0.0203159, 29.591, 4.35777, 7.25379
53, 4, 742.774, 0.00831922, 4.32364, 3.30666, 11.0992, 2.17046e-05, 0.429691, 0.0278953, 2.34315, 0.238466, 7.1218
54, 0, 742.357, 0.0122221, 17.4072, 3.22861, 11.4914, 1.54969e-05, 0.981791, 0.0212377, 5.10925, 0.222337, 19.3311
54, 1, 747.441, 0.0127102, -2.64314, 0.0225081, 13.9745, 0.000334833, 0.291722, 0.0118502, 100.666, 8.11073, 7.85753
54, 2, 741.183, 0.013728, 10.2094, 0.932913, 15.6098, 0.000127749, 0.455556, 0.0205682, 20.6964, 1.95115, 7.74207
62, 0, 749.106, 0.0254076, -0.51567, 1.4146, 12.7562, 0.000147521, 0.777029, 0.0318997, 26.1917, 2.33235, 14.5632
62, 1, 748.313, 0.00930227, 14.5148, 2.94447, 12.4537, 2.07528e-05, 0.620157, 0.0286045, 3.26894, 0.265045, 10.7553
62, 2, 748.576, 0.0152463, 50.9978, 5.28921, 12.5194, 2.58328e-05, 0.723996, 0.0445639, 3.03399, 0.330736, 9.97174
65, 0, 746.58, 0.0898262, 6.31172, 8.24052, 12.4928, 9.62666e-05, 2.41823, 0.109273, 15.8879, 1.58174, 58.3585
65, 1, 747.6, 0.0128752, 6.90198, 3.54471, 12.9374, 1.02199e-05, 1.55766, 0.0239448, 4.74225, 0.144003, 30.2406
65, 2, 747.571, 0.0587708, 33.9127, 25.5734, 12.9565, 3.99079e-05, 1.37487, 0.158458, 2.54282, 0.539094, 23.4015
65, 3, 744.36, 0.016648, 54.452, 5.15917, 11.1855, 2.12055e-05, 0.973369, 0.0368762, 3.9859, 0.286788, 18.5254
65, 4, 748.199, 0.0116154, 5.56293, 1.0367, 14.3184, 6.27632e-05, 0.651397, 0.0198078, 15.1092, 0.930873, 13.1091
65, 5, 746.572, 0.0128051, 2.06569, 3.99344, 12.3649, 2.57362e-05, 0.621851, 0.0304593, 3.75918, 0.34167, 10.568
65, 6, 745.643, 0.0081287, -5.38521, 0.503027, 15.2865, 9.00597e-05, 0.472511, 0.0142082, 21.7007, 1.31143, 10.1192
65, 7, 745.126, 0.0138913, 7.76028, 0.327917, 11.7912, 0.000400225, 0.333715, 0.0160309, 63.9534, 6.60199, 8.98716
65, 8, 747.79, 0.0724273, -7.51935, 0.955778, 14.5896, 0.000946495, 0.459085, 0.0635331, 139.076, 19.3063, 7.93638
65, 9, 749.044, 0.0140112, 8.08913, 1.42346, 13.6662, 0.000143704, 0.342337, 0.0270115, 12.4902, 1.96829, 7.88152
39, 0, 737.173, 0.0251505, 24.45, 3.2514, 11.0483, 4.454e-05, 1.25564, 0.0368722, 10.9109, 0.672565, 27.7411
39, 1, 738.837, 0.0374017, 5.91315, 16.8574, 12.1649, 2.03364e-05, 1.60244, 0.120255, 2.17738, 0.296138, 24.3379
39, 2, 735.746, 0.0243703, 10.209, 3.9221, 14.7264, 7.84763e-05, 0.723838, 0.0521784, 7.7309, 1.06242, 17.9911
39, 3, 735.967, 0.0275968, -19.5486, 1.6368, 14.7123, 0.000169344, 0.448933, 0.0264746, 25.2961, 3.06777, 9.12358
39, 4, 739.197, 0.0142399, 3.31287, 1.78853, 12.4397, 8.62833e-05, 0.417054, 0.0240805, 10.6505, 1.24903, 9.04359
39, 5, 737.944, 0.00854896, 3.49057, 0.214301, 14.0523, 0.000193498, 0.479192, 0.011893, 56.8503, 2.99834, 8.79878
37, 0, 739.384, 0.018118, 3.60942, 3.23639, 12.1888, 2.57741e-05, 1.17737, 0.0277145, 7.85643, 0.384723, 24.6519
37, 1, 737.833, 0.0302273, 8.96223, 7.62767, 14.2297, 3.24111e-05, 1.13689, 0.0483617, 5.46122, 0.476831, 21.2236
37, 2, 737.214, 0.0119676, -11.5708, 2.01454, 14.469, 4.74213e-05, 0.585085, 0.0278846, 7.10445, 0.622337, 12.2921
37, 3, 738.538, 0.012959, 3.60831, 0.456711, 14.0538, 0.000315636, 0.310993, 0.0174225, 40.8732, 4.90453, 7.00245
30, 0, 728.13, 0.0121539, 0.912135, 0.13644, 18.3077, 0.000188053, 0.922316, 0.0116311, 138.481, 3.51575, 14.8097
30, 1, 727.287, inf, 41.91, inf, 18.3049, inf, 0.0554286, inf, 2, inf, 12.4732
64, 0, 748.075, 0.0265272, 21.3465, 1.83742, 12.8831, 8.60233e-05, 1.15449, 0.0348457, 20.8576, 1.34542, 24.4083
64, 1, 746.85, 0.0280652, 22.1714, 1.68248, 12.3357, 8.51935e-05, 1.28356, 0.0334932, 24.5853, 1.41268, 21.0754
64, 2, 749.156, 0.00755148, 1.7682, 0.0586091, 13.3687, 0.000226517, 0.662817, 0.00709937, 197.498, 4.24113, 9.35824
64, 3, 748.643, 0.0133624, 1.55338, 0.54888, 13.3725, 0.000334539, 0.14728, 0.0126824, 39.3738, 6.37605, 8.23278
64, 4, 745.696, 0.00765283, 5.98731, 0.204558, 12.0514, 0.000250893, 0.347589, 0.0132296, 46.2432, 3.49185, 7.88031
64, 5, 747.76, inf, 25.7347, inf, 12.874, inf, 0.140286, inf, 2, inf, 7.36284
64, 6, 748.297, 0.00921504, 0.685838, 0.678666, 12.9272, 0.000122412, 0.364221, 0.0186585, 17.3729, 1.72158, 7.00423
63, 0, 750.198, 0.0097471, -6.37624, 0.0877719, 13.7303, 0.000324872, 0.592277, 0.00969374, 166.966, 5.8103, 11.4857
63, 1, 744.511, 0.00687568, 0.651532, 0.43264, 15.8628, 9.55103e-05, 0.463822, 0.0157921, 18.8783, 1.21836, 10.7572
63, 2, 743.882, 0.0094779, 11.6388, 0.940346, 16.5082, 7.04515e-05, 0.47503, 0.0182773, 13.0995, 0.973762, 9.5001
63, 3, 746.457, 0.0130681, 7.75061, 0.372526, 11.0335, 0.000173881, 0.516402, 0.0137349, 52.8185, 3.04711, 8.76253
63, 4, 747.279, 0.0114018, -0.694981, 0.0894373, 11.8978, 0.000381835, 0.556432, 0.0106462, 203.151, 7.23304, 7.06001
63, 5, 749.678, 0.012789, -3.86102, 1.37253, 13.7308, 0.000634089, 0.0717953, 0.021341, 2, 4.12522, 7.03884
55, 0, 744.38, 0.036485, -0.67763, 2.13211, 12.2396, 0.00010195, 1.56017, 0.0460093, 24.9438, 1.57932, 31.5163
55, 1, 744.739, 0.0127424, 19.6179, 1.71892, 12.3726, 3.22158e-05, 0.918791, 0.0217454, 9.9355, 0.483963, 18.7831
55, 2, 745.62, 0.00755902, 5.96829, 0.693991, 12.6411, 4.05687e-05, 0.680566, 0.0135546, 14.4932, 0.575958, 14.0861
55, 3, 746.249, 0.00590453, -5.69747, 0.100449, 14.5229, 0.000171763, 0.488964, 0.00748231, 82.6899, 2.6989, 8.57963
